Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
java,flight.reservation,Airport,5,0,8,8,37,8,0,0,0.25,3,0
java,flight.reservation,Customer,3,0,9,8,42,10,0,0,0.0,3,3
java,flight.reservation,Passenger,1,0,2,2,9,2,0,0,0.0,0,0
java,flight.reservation.flight.builder,ScheduledFlightBuilder,6,0,7,7,38,8,0,0,0.0,0,2
java,flight.reservation.flight,Flight,4,0,8,6,36,9,1,0,0.0,1,2
java,flight.reservation.flight,Schedule,2,0,10,10,45,12,0,1,0.0,1,4
java,flight.reservation.flight,ScheduledFlight,6,0,17,17,73,17,0,1,0.11764705882352941,5,5
java,flight.reservation.flight.observer,ScheduleEvent,2,0,3,3,14,3,0,0,0.0,4,1
java,flight.reservation.flight.observer,ScheduleObserver,0,0,1,0,3,1,0,0,-1.0,3,1
java,flight.reservation.flight.observer,ScheduleSubject,0,0,3,0,5,3,2,0,-1.0,0,2
java,flight.reservation.flight.pricing,DemandPricing,0,0,1,1,15,2,0,1,-1.0,0,1
java,flight.reservation.flight.pricing,FixedPricing,0,0,1,1,5,1,0,1,-1.0,0,1
java,flight.reservation.flight.pricing,PricingStrategy,0,0,1,0,3,1,2,0,-1.0,1,1
java,flight.reservation.order.builder,FlightOrderBuilder,4,0,5,5,33,5,0,0,0.0,0,2
java,flight.reservation.order,FlightOrder,2,0,9,9,44,12,0,1,0.5555555555555556,3,2
java,flight.reservation.order,Order,5,0,10,10,37,10,1,0,0.5,0,1
java,flight.reservation.order.validation,CapacityValidator,0,0,1,0,13,1,0,1,-1.0,0,1
java,flight.reservation.order.validation,NoFlyValidator,0,0,1,0,8,2,0,1,-1.0,0,2
java,flight.reservation.order.validation,OrderValidationContext,3,0,4,4,19,4,0,0,0.0,4,1
java,flight.reservation.order.validation,OrderValidationHandler,1,0,3,2,17,5,2,0,0.0,2,2
java,flight.reservation.payment,CreditCard,5,0,5,5,29,5,0,0,0.0,2,0
java,flight.reservation.payment,CreditCardAdapter,1,0,2,2,18,4,0,1,0.0,0,1
java,flight.reservation.payment,PaymentProcessor,0,0,1,0,3,1,2,0,-1.0,1,0
java,flight.reservation.payment,Paypal,1,1,0,0,7,0,0,0,-1.0,1,0
java,flight.reservation.payment,PaypalAdapter,2,0,2,2,14,3,0,1,0.0,0,1
java,flight.reservation.plane,Aircraft,0,0,3,0,5,3,3,0,-1.0,3,0
java,flight.reservation.plane,AircraftFactory,0,0,2,1,16,5,0,0,-1.0,0,0
java,flight.reservation.plane,Helicopter,2,0,4,4,25,6,0,1,0.5,0,0
java,flight.reservation.plane,PassengerDrone,1,0,4,4,20,5,0,1,0.75,0,0
java,flight.reservation.plane,PassengerPlane,3,3,4,4,37,8,0,1,0.0,0,0
java,(default package),Runner,4,0,1,1,8,1,0,0,0.0,0,1
